ingredient,fdc_id,description,data_type,calories,protein_g,fat_g,carbs_g,search_term,match_quality
Chive,169994,"Chives, raw",sr_legacy_food,30.0,3.27,0.73,4.35,chive,exact
Dill,172233,"Dill weed, fresh",sr_legacy_food,43.0,3.46,1.12,7.02,dill,exact
Turmeric root,1989524,"AZTEC VANILLA GRASS-FED BONE BROTH COLLAGEN WITH TURMERIC ROOT, AZTEC VANILLA",branded_food,361.0,88.89,5.56,0.0,turmeric root,exact
Horseradish,602460,ALL NATURAL OLD FASHIONED PREPARED HORSERADISH FRESH GROUND,branded_food,0.0,0.0,0.0,0.0,horseradish,exact
Wasabi root,168583,"Wasabi, root, raw",sr_legacy_food,109.0,4.8,0.63,23.54,wasabi,partial
Taro,168487,"Taro leaves, raw",sr_legacy_food,42.0,4.98,0.74,6.7,taro,exact
Cassava,169985,"Cassava, raw",sr_legacy_food,160.0,1.36,0.28,38.06,cassava,exact
Jicama,170073,"Yambean (jicama), raw",sr_legacy_food,38.0,0.72,0.09,8.82,jicama,exact
Jerusalem artichoke,1914820,"RELISH, JERUSALEM ARTICHOKE",branded_food,105.0,0.0,0.0,21.05,jerusalem artichoke,exact
Fiddlehead fern,169405,"Fiddlehead ferns, raw",sr_legacy_food,34.0,4.55,0.4,5.54,fiddlehead fern,exact
Malabar spinach,169400,"Malabar spinach, cooked",sr_legacy_food,23.0,2.98,0.78,2.71,malabar spinach,exact
Sea asparagus,171731,"Beef, Australian, imported, Wagyu, seam fat, Aust. marble score 4/5, raw",sr_legacy_food,594.0,6.0,63.3,0.0,sea,partial
Purslane,169274,"Purslane, raw",sr_legacy_food,20.0,2.03,0.36,3.39,purslane,exact
Pepper leaf,169394,"Pepper, banana, raw",sr_legacy_food,27.0,1.66,0.45,5.35,pepper,partial
Moringa leaves,2174359,"MORINGA TURMERIC ORANGE BLOSSOM ORGANIC RAW HONEY, MORINGA TURMERIC ORANGE BLOSSOM",branded_food,286.0,4.76,0.0,80.95,moringa,partial
Microgreens,1549661,"BRIGHTFRESH MICROGREENS, MICRO KALE MIX",branded_food,29.0,0.0,0.0,0.0,microgreens,exact
Chive flower,169994,"Chives, raw",sr_legacy_food,30.0,3.27,0.73,4.35,chive,partial
Scallion,170005,"Onions, spring or scallions (includes tops and bulb), raw",sr_legacy_food,32.0,1.83,0.19,7.34,scallion,exact
Apple,173931,"Apples, dehydrated (low moisture), sulfured, uncooked",sr_legacy_food,346.0,1.32,0.58,93.53,apple,exact
Green apple,2444343,100ct/2oz Fresh Green Apple Slices,branded_food,53.0,0.0,0.0,14.04,green apple,exact
Banana,170998,"Babyfood, fruit, banana and strawberry, junior",sr_legacy_food,109.0,0.71,0.37,25.78,banana,exact
Mango,169910,"Mangos, raw",sr_legacy_food,60.0,0.82,0.38,14.98,mango,exact
Pineapple,169124,"Pineapple, raw, all varieties",sr_legacy_food,50.0,0.54,0.12,13.12,pineapple,exact
Orange,175133,"Fish, roughy, orange, raw",sr_legacy_food,76.0,16.41,0.7,0.0,orange,exact
Mandarin,169105,"Tangerines, (mandarin oranges), raw",sr_legacy_food,53.0,0.81,0.31,13.34,mandarin,exact
Tangerine,169925,"Tangerine juice, raw",sr_legacy_food,43.0,0.5,0.2,10.1,tangerine,exact
Lemon,172755,"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",sr_legacy_food,371.0,5.4,18.5,47.8,lemon,exact
Lime,168156,"Lime juice, raw",sr_legacy_food,25.0,0.42,0.07,8.42,lime,exact
Grape,168575,"Grape leaves, raw",sr_legacy_food,93.0,5.6,2.12,17.31,grape,exact
Red grape,1804303,"100% SQUEEZED JUICE, BLUEBERRY, STRAWBERRY, RED GRAPE",branded_food,62.0,0.42,0.08,14.88,red grape,exact
White grape,2499848,"CONCORD GRAPE, STRAWBERRY, WHITE GRAPE PEACH, RASPBERRY, CHERRY JELLY HEARTS, CONCORD GRAPE, STRAWBERRY, WHITE GRAPE PEACH, RASPBERRY, CHERRY",branded_food,367.0,0.0,0.0,90.0,white grape,exact
Watermelon,167765,"Watermelon, raw",sr_legacy_food,30.0,0.61,0.15,7.55,watermelon,exact
Melon,169092,"Melons, cantaloupe, raw",sr_legacy_food,34.0,0.84,0.19,8.16,melon,exact
Honeydew,169911,"Melons, honeydew, raw",sr_legacy_food,36.0,0.54,0.14,9.09,honeydew,exact
Peach,169932,"Peaches, dehydrated (low-moisture), sulfured, uncooked",sr_legacy_food,325.0,4.89,1.03,83.18,peach,exact
Nectarine,169914,"Nectarines, raw",sr_legacy_food,44.0,1.06,0.32,10.55,nectarine,exact
Plum,173952,"Carissa, (natal-plum), raw",sr_legacy_food,62.0,0.5,1.3,13.63,plum,exact
Apricot,171702,"Apricots, dehydrated (low-moisture), sulfured, uncooked",sr_legacy_food,320.0,4.9,0.62,82.89,apricot,exact
Cherry,171686,"Acerola, (west indian cherry), raw",sr_legacy_food,32.0,0.4,0.3,7.69,cherry,exact
Blueberry,167927,"Toaster Pastries, fruit, frosted (include apples, blueberry, cherry, strawberry)",sr_legacy_food,385.0,4.01,9.02,71.83,blueberry,exact
Raspberry,172755,"Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemon, raspberry, strawberry)",sr_legacy_food,371.0,5.4,18.5,47.8,raspberry,exact
Blackberry,2602878,"100% ORGANIC COLD PRESSED PROTEIN BERRY JUICE, APPLE; WATERMELON; BLACKBERRY; STRAWBERRY; RASPBERRY; BLACK MULBERRY; PURPLE CARROT",branded_food,61.0,4.85,0.0,10.0,blackberry,exact
Cranberry,175189,"Beans, cranberry (roman), mature seeds, raw",sr_legacy_food,335.0,23.03,1.23,60.05,cranberry,exact
Kiwi,174111,"Beverages, Kiwi Strawberry Juice Drink",sr_legacy_food,47.0,0.0,0.0,12.26,kiwi,exact
Pomegranate,169134,"Pomegranates, raw",sr_legacy_food,83.0,1.67,1.17,18.7,pomegranate,exact
Avocado,171706,"Avocados, raw, California",sr_legacy_food,167.0,1.96,15.41,8.64,avocado,exact
Papaya,169926,"Papayas, raw",sr_legacy_food,43.0,0.47,0.26,10.82,papaya,exact
Guava,173044,"Guavas, common, raw",sr_legacy_food,68.0,2.55,0.95,14.32,guava,exact
Lychee,969365,"FRUIT SMOOTHIE, GREENAPPLE, GRAPE, PINEAPPLE, MANGO, STRAWBERRY, LYCHEE",branded_food,81.0,0.0,0.0,20.33,lychee,exact
Longan,169089,"Longans, raw",sr_legacy_food,60.0,1.31,0.1,15.14,longan,exact
Durian,168192,"Durian, raw or frozen",sr_legacy_food,147.0,1.47,5.33,27.09,durian,exact
Jackfruit,174687,"Jackfruit, raw",sr_legacy_food,95.0,1.72,0.64,23.25,jackfruit,exact
Dragon fruit,2365312,"ASSORTED FLAVORED GOURMET JELLY BEANS, 4TH OF JULY APPLE PIE, BANANA CREAM PIE, VERY BLUEBERRY, CINNAMON FIREBALL, DRAGON FRUIT, GRAPE ESCAPE, GREEN APPLE, SUMMER LEMONADE, MANGO TANGO, PEACHY KEEN, PEACH GREEN TEA, SUCCULENT PEAR, PINA COLADA, BLUE RASPBERRY, FROSTY ROOT BEER, SOUR CHERRY, STRAWBERRY SHAKE, MELON MEDLEY, TANGERINE TWIST, JUICY WATERMELON",branded_food,350.0,0.0,0.0,92.5,dragon fruit,exact
Star fruit,2368621,"CHERRY, ORANGE, APPLE, STRAWBERRY, BLUE RASPBERRY, GRAPE SUPERSTAR FRUIT FLAVORED SNACKS, CHERRY, ORANGE, APPLE, STRAWBERRY, BLUE RASPBERRY, GRAPE",branded_food,310.0,4.42,0.0,75.22,star fruit,exact
Mulberry,2602878,"100% ORGANIC COLD PRESSED PROTEIN BERRY JUICE, APPLE; WATERMELON; BLACKBERRY; STRAWBERRY; RASPBERRY; BLACK MULBERRY; PURPLE CARROT",branded_food,61.0,4.85,0.0,10.0,mulberry,exact
Fig,174665,"Figs, dried, uncooked",sr_legacy_food,249.0,3.3,0.93,63.87,fig,exact
Date,2554119,"BERRY BERRY APPLE, STRAWBERRY, BLUEBERRY, PUMPKIN SEED, DATE, COCONUT MILK, SWEET POTATO ORGANIC DAIRY-FREE SMOOTHIE, BERRY BERRY",branded_food,88.0,2.65,3.54,13.27,date,exact
Persimmon,169941,"Persimmons, japanese, raw",sr_legacy_food,70.0,0.58,0.19,18.59,persimmon,exact
Passion fruit,2709248,"Passion fruit, raw",survey_fndds_food,97.0,2.2,0.7,23.38,passion fruit,exact
Coconut,170580,"Nuts, coconut cream, raw (liquid expressed from grated meat)",sr_legacy_food,330.0,3.63,34.68,6.65,coconut,exact
Olive,1774344,100% ORGANIC EXTRA VIRGIN FRESH-PRESSED OLIVE OIL,branded_food,800.0,0.0,93.33,0.0,olive,exact
Pear,168391,"Balsam-pear (bitter gourd), leafy tips, raw",sr_legacy_food,30.0,5.3,0.69,3.29,pear,exact
Asian pear,1985609,"8 FLAVOR GUMMI BEARS, ALPHONSO MANGO, AMITY RASPBERRY, ASIAN PEAR, BLACK CURRANT, BLOOD ORANGE, CRIMSON CRANBERRY, FUJI APPLE, QUEEN PINEAPPLE",branded_food,312.0,3.12,0.0,68.75,asian pear,exact
Custard apple,171725,"Custard-apple, (bullock's-heart), raw",sr_legacy_food,101.0,1.7,0.6,25.2,custard,partial
Mangosteen,436119,"WHOLE FOODS MARKET, SUPER STARS, ALL NATURAL FLAVORS - TANGERINE, STRAWBERRY, MANGOSTEEN, ACEROLA CHERRY, GOGI BERRY",branded_food,350.0,0.0,0.0,92.5,mangosteen,exact
Rambutan,168167,"Rambutan, canned, syrup pack",sr_legacy_food,82.0,0.65,0.21,20.87,rambutan,exact
Pomelo,2520371,1L BOTTLE PINEAPPLE POMELO SELTZER,branded_food,0.0,0.0,0.0,0.0,pomelo,exact
Kumquat,168154,"Kumquats, raw",sr_legacy_food,71.0,1.88,0.86,15.9,kumquat,exact
Loquat,169908,"Loquats, raw",sr_legacy_food,47.0,0.43,0.2,12.14,loquat,exact
Feijoa,168176,"Feijoa, raw",sr_legacy_food,61.0,0.71,0.42,15.21,feijoa,exact
Carambola,171715,"Carambola, (starfruit), raw",sr_legacy_food,31.0,1.04,0.33,6.73,carambola,exact
Breadfruit,171714,"Breadfruit, raw",sr_legacy_food,103.0,1.07,0.23,27.12,breadfruit,exact
Gooseberry,1547668,"BELLVIEW, TASTE THE FRUIT 1ST, PRESERVES, GOOSEBERRY",branded_food,250.0,0.0,0.0,65.0,gooseberry,exact
Elderberry,2543055,"ELDERBERRY FRESH PRESSED SYRUP, ELDERBERRY",branded_food,167.0,0.0,0.0,46.67,elderberry,exact
Hawthorn,2162534,"COOLBERRY FREEZE DRIED PITTED & SLICED HAWTHORN BERRY, COOLBERRY",branded_food,1200.0,10.0,0.0,300.0,hawthorn,exact
Jujube,168152,"Jujube, Chinese, fresh, dried",sr_legacy_food,281.0,4.72,0.5,72.52,jujube,exact
Prickly pear,167750,"Prickly pears, raw",sr_legacy_food,41.0,0.73,0.51,9.57,prickly pear,exact
Clementine,168195,"Clementines, raw",sr_legacy_food,47.0,0.85,0.15,12.02,clementine,exact
Bilberry,861128,"ORGANIC RAW KOMBUCHA, BILBERRY",branded_food,375.0,0.0,0.0,87.5,bilberry,exact
Currant,173963,"Currants, european black, raw",sr_legacy_food,63.0,1.4,0.41,15.38,currant,exact
Marionberry,1889795,"100% JUICE, CRANBERRY MARIONBERRY",branded_food,43.0,1.04,0.12,10.0,marionberry,exact
Ugli fruit,439492,"ARTISAN PUGLIESE BREAD, PUGLIESE",branded_food,304.0,8.93,1.79,60.71,ugli,partial
Miracle fruit,171004,"Salad dressing, KRAFT MIRACLE WHIP FREE Nonfat Dressing",sr_legacy_food,84.0,0.2,2.7,15.5,miracle,partial
Quince,168163,"Quinces, raw",sr_legacy_food,57.0,0.4,0.1,15.3,quince,exact
Soursop,167761,"Soursop, raw",sr_legacy_food,66.0,1.0,0.3,16.84,soursop,exact
Santol,1256907,SANTOLLA RED CRAB,branded_food,94.0,18.82,1.76,0.0,santol,exact
Tart cherry,1588921,"CHERIBUNDI, BLACK TEA WITH TART CHERRY REFRESH",branded_food,33.0,0.0,0.0,7.92,tart cherry,exact
Sea buckthorn,1725458,POTENT-C SEA BUCKTHORN THE ORIGINAL RAW SHOT,branded_food,50.0,0.0,0.0,10.0,sea buckthorn,exact
Ackee,2422908,ACKEE,branded_food,154.0,2.2,10.99,10.99,ackee,exact
Plantain,168215,"Plantains, green, raw",sr_legacy_food,152.0,1.25,0.07,36.66,plantain,exact
Sapodilla,167759,"Sapodilla, raw",sr_legacy_food,83.0,0.44,1.1,19.96,sapodilla,exact
Cherimoya,173953,"Cherimoya, raw",sr_legacy_food,75.0,1.57,0.68,17.71,cherimoya,exact
Fig jam,2271511,"STRAWBERRY & FIG JAM, STRAWBERRY & FIG",branded_food,219.0,0.0,0.0,56.25,fig jam,exact
Rice,169703,"Rice, brown, long-grain, raw (Includes foods for USDA's Food Distribution Program)",sr_legacy_food,367.0,7.54,3.2,76.25,rice,exact
White rice,1058693,"CHILE VERDE LONG GRAIN WHITE RICE WITH ONIONS, GARLIC, AND A UNIQUE BLEND OF REFRESHING LIME WITH A HINT OF JALAPENO RICE SIDE, CHILE VERDE",branded_food,361.0,8.2,1.64,78.69,white rice,exact
Brown rice,733138,"KOREAN INSPIRED BEEF FRESH CABBAGE, BABY SPINACH & CARROTS, BROWN RICE, SEASONED BEEF, AND FIRE ROASTED EDAMAME WITH GOCHUJANG SIMMER SAUCE VEGGIE & RICE BOWL",branded_food,116.0,5.04,4.65,15.12,brown rice,exact
Jasmine rice,2668631,"TERIYAKI & RICE FRESH GREEN CABBAGE, CARROTS, BROCCOLI, KALE WITH JASMINE RICE, CASHEWS & TERIYAKI SAUCE MEAL KIT, TERIYAKI & RICE",branded_food,113.0,2.67,2.33,21.33,jasmine rice,exact
Basmati rice,1819032,CURRY CHICKEN OVER BASMATI RICE WITH FRESH BROCCOLI INDIAN STYLE CURRY RICE BOWL,branded_food,168.0,10.29,4.71,19.41,basmati rice,exact
Glutinous rice,2708345,Cake made with glutinous rice,survey_fndds_food,279.0,2.49,6.51,53.57,glutinous rice,exact
Wild rice,169726,"Wild rice, raw",sr_legacy_food,357.0,14.73,1.08,74.9,wild rice,exact
Quinoa,168874,"Quinoa, uncooked",sr_legacy_food,368.0,14.12,6.07,64.16,quinoa,exact
Amaranth,170682,"Amaranth grain, uncooked",sr_legacy_food,371.0,13.56,7.02,65.25,amaranth,exact
Barley,170284,"Barley, pearled, raw",sr_legacy_food,352.0,9.91,1.16,77.72,barley,exact
Oats,173019,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with real strawberries",sr_legacy_food,399.0,6.7,4.9,83.3,oats,exact
Rolled oats,2274888,"DARK CHOCOLATE & RED BERRIES FLAVORED ORGANIC GRANOLA WITH WHOLE ROLLED OATS, CHOCOLATE CHIPS, FLAX SEEDS, RASPBERRIES AND STRAWBERRIES, DARK CHOCOLATE & RED BERRIES",branded_food,452.0,9.68,16.13,69.35,rolled oats,exact
Rye,171077,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, raw",sr_legacy_food,120.0,22.5,2.62,0.0,rye,exact
Millet,169702,"Millet, raw",sr_legacy_food,378.0,11.02,4.22,72.85,millet,exact
Sorghum,171863,"Rolls, gluten-free, white, made with brown rice flour, tapioca starch, and sorghum flour",sr_legacy_food,257.0,5.65,8.2,40.24,sorghum,exact
Cornmeal,167628,"Cornmeal, blue (Navajo)",sr_legacy_food,398.0,10.4,5.44,76.93,cornmeal,exact
Polenta,390844,"365 EVERYDAY VALUE, YELLOW POLENTA",branded_food,80.0,2.0,0.5,16.0,polenta,exact
Couscous,356564,"FRESH & EASY, COUSCOUS",branded_food,349.0,13.95,2.33,74.42,couscous,exact
Bulgur,2080285,"FALAFEL WITH TABBOULEH AND TZATZIKI INCLUDES GARBANZO BEANS, FRESH MEDITERRANEAN VEGETABLES, BULGUR WHEAT, GREEK YOGURT, PANKO BREADCRUMBS, DICED CUCUMBERS, FRESH DILL AND FRESH LEMON, FALAFEL WITH TABBOULEH AND TZATZIKI",branded_food,84.0,4.69,1.37,14.06,bulgur,exact
Semolina,2688265,"A classic menu item made with quality ingredients and features freshly made elbow macaroni from durum wheat semolina, which is then blended with 100% real cheese and finished with a hint of sea salt",branded_food,142.0,5.78,7.11,13.33,semolina,exact
Flour,174273,"Soy flour, full-fat, raw",sr_legacy_food,434.0,37.81,20.65,31.92,flour,exact
Whole wheat flour,1139651,100% ORGANIC ALL PURPOSE WHOLE WHEAT FLOUR,branded_food,360.0,13.33,3.33,73.33,whole wheat flour,exact
All-purpose flour,392784,100% ORGANIC ALL-PURPOSE FLOUR,branded_food,367.0,13.33,0.0,76.67,all-purpose flour,exact
Corn flour,169694,"Corn flour, masa, enriched, white",sr_legacy_food,363.0,8.46,3.69,76.59,corn flour,exact
Rice flour,2678832,"ERAWAN, RICE FLOUR",branded_food,367.0,6.67,0.0,80.0,rice flour,exact
Almond flour,2386688,RAW ALMOND FLOUR,branded_food,583.0,20.83,50.0,20.83,almond flour,exact
Buckwheat flour,170687,"Buckwheat flour, whole-groat",sr_legacy_food,335.0,12.62,3.1,70.59,buckwheat flour,exact
Soy flour,174273,"Soy flour, full-fat, raw",sr_legacy_food,434.0,37.81,20.65,31.92,soy flour,exact
Wheat bran,173002,"Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes",sr_legacy_food,390.0,10.21,3.36,79.77,wheat bran,exact
Wheat germ,171653,"Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Honey Crunch Wheat Germ",sr_legacy_food,372.0,26.55,7.78,58.11,wheat germ,exact
Chickpea,173756,"Chickpeas (garbanzo beans, bengal gram), mature seeds, raw",sr_legacy_food,378.0,20.47,6.04,62.95,chickpea,exact
Lentil,174284,"Lentils, pink or red, raw",sr_legacy_food,358.0,23.91,2.17,63.1,lentil,exact
Mung bean,174256,"Mung beans, mature seeds, raw",sr_legacy_food,347.0,23.86,1.15,62.62,mung bean,exact
Kidney bean,356571,"FRESH & EASY, LIGHT RED KIDNEY BEANS",branded_food,333.0,22.22,0.0,62.22,kidney bean,exact
Black bean,1435787,"BALSAMIC & HERB FLAVORED BLACK BEAN & VEGGIE STRAWS SNACKS, BALSAMIC & HERB",branded_food,500.0,14.29,21.43,60.71,black bean,exact
Pinto bean,2381650,"BEEF & CHEDDAR PINTO BEANS, GROUND BEEF, & CHEDDAR CHEESE IN A FRESHLY BAKED FLOUR TORTILLA MEXIWRAPS, BEEF & CHEDDAR",branded_food,231.0,10.26,10.26,27.56,pinto bean,exact
Navy bean,1800209,100% ORGANIC NAVY BEANS,branded_food,100.0,7.69,0.77,14.62,navy bean,exact
Pea,168391,"Balsam-pear (bitter gourd), leafy tips, raw",sr_legacy_food,30.0,5.3,0.69,3.29,pea,exact
Adzuki bean,173730,"Yokan, prepared from adzuki beans and sugar",sr_legacy_food,260.0,3.29,0.12,60.72,adzuki bean,exact
Soybean,169282,"Soybeans, green, raw",sr_legacy_food,147.0,12.95,6.8,11.05,soybean,exact
Edamame,2619965,"EDAMAME FUSION CRANBERRIES, EDAMAME BEANS, ROASTED ALMONDS, FAVA BEANS, RAW PEPITAS, MULBERRIES & ROASTED CASHEWS TRAIL MIX, EDAMAME FUSION",branded_food,441.0,20.59,20.59,47.06,edamame,exact
Split pea,356576,"FRESH & EASY, GREEN SPLIT PEAS",branded_food,347.0,24.49,1.02,61.22,split pea,exact
Peanut,172430,"Peanuts, all types, raw",sr_legacy_food,567.0,25.8,49.24,16.13,peanut,exact
Cashew,170162,"Nuts, cashew nuts, raw",sr_legacy_food,553.0,18.22,43.85,30.19,cashew,exact
Almond,1811670,100% RAW ALMONDS,branded_food,533.0,20.0,46.67,20.0,almond,exact
Walnut,2544287,"ALMONDS, PECANS, WALNUTS KETO RAW MIX, ALMONDS, PECANS, WALNUTS",branded_food,635.0,14.12,63.53,16.47,walnut,exact
Hazelnut,1865701,"ALL NATURAL CHOCOLATE-HAZELNUT SPREAD, CHOCOLATE STRAWBERRY",branded_food,541.0,5.41,32.43,59.46,hazelnut,exact
Pistachio,170184,"Nuts, pistachio nuts, raw",sr_legacy_food,560.0,20.16,45.32,27.17,pistachio,exact
Macadamia,170178,"Nuts, macadamia nuts, raw",sr_legacy_food,718.0,7.91,75.77,13.82,macadamia,exact
Brazil nut,2429287,BRAZIL NUTS RAW,branded_food,657.0,14.29,67.86,10.71,brazil nut,exact
Chestnut,170164,"Nuts, chestnuts, chinese, raw",sr_legacy_food,224.0,4.2,1.11,49.07,chestnut,exact
Coconut meat,170169,"Nuts, coconut meat, raw",sr_legacy_food,354.0,3.33,33.49,15.23,coconut meat,exact
Pine nut,407685,"FERRIS, RAW PINE NUTS",branded_food,679.0,14.29,67.86,14.29,pine nut,exact
Chia seed,2284149,100% RAW ORGANIC CHIA SEEDS,branded_food,500.0,16.67,29.17,41.67,chia seed,exact
Flaxseed,2284148,100% RAW ORGANIC COLD MILLED GROUND FLAXSEED,branded_food,500.0,16.67,33.33,33.33,flaxseed,exact
Sesame seed,2222743,"7205: Croissants, Strawberry Cheese Filled, Freezer-to-Oven. Contains egg, milk, and wheat ingredients. This product is processed on a line that produces products with almonds and pecans and sesame seeds. This product is processed in a facility that produces products with soy. Kosher: Kof-K-D",branded_food,303.0,7.07,15.15,35.35,sesame seed,exact
Sunflower seed,374919,"BRAD'S RAW, RAW CRUNCHY KALE, NAKED SUNFLOWER SEED & CASHEW VEGAN CHEEZE",branded_food,471.0,17.86,32.14,39.29,sunflower seed,exact
Pumpkin seed,175151,"Fish, sunfish, pumpkin seed, raw",sr_legacy_food,89.0,19.4,0.7,0.0,pumpkin seed,exact
Hemp seed,436596,"365 EVERYDAY VALUE, ORGANIC RAW & HULLED HEMP SEED",branded_food,600.0,33.33,50.0,6.67,hemp seed,exact
Water chestnut,2702108,"Birds Eye Steamfresh Broccoli, Carrots, Sugar Snap Peas, Water Chestnuts, Frozen Vegetables, 10.8 oz",branded_food,46.0,2.3,0.0,9.2,water chestnut,exact
Lotus seed,168591,"Seeds, lotus seeds, raw",sr_legacy_food,89.0,4.13,0.53,17.28,lotus seed,exact
Tapioca,364844,"ERAWAN, TAPIOCA STARCH",branded_food,350.0,0.0,0.0,90.0,tapioca,exact
Tofu,172475,"Tofu, raw, firm, prepared with calcium sulfate",sr_legacy_food,144.0,17.27,8.72,2.78,tofu,exact
Tempeh,174272,Tempeh,sr_legacy_food,192.0,20.29,10.8,7.64,tempeh,exact
Soy milk,2481924,"STRAWBERRY GUMMY BOBA SOY MILK, STRAWBERRY",branded_food,48.0,2.22,1.27,6.98,soy milk,exact
Soy protein,174813,"Beverages, ABBOTT, EAS soy protein powder",sr_legacy_food,405.0,47.62,3.57,43.94,soy protein,exact
Cereal,173019,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with real strawberries",sr_legacy_food,399.0,6.7,4.9,83.3,cereal,exact
Granola,2537159,100% REAL STRAWBERRIES CHEWY GRANOLA BARS,branded_food,419.0,6.45,12.9,67.74,granola,exact
Oatmeal,1240232,"7-ELEVEN FRESH TO GO, OATMEAL RAISIN COOKIE",branded_food,392.0,5.88,11.76,62.75,oatmeal,exact
Bread,173093,"Beef, New Zealand, imported, sweetbread, raw",sr_legacy_food,303.0,11.51,28.6,0.0,bread,exact
White bread,1245356,"BAKERY FRESH GOODNESS, WHITE BREAD",branded_food,280.0,8.0,4.0,56.0,white bread,exact
Whole wheat bread,2501913,"PEANUT BUTTER & STRAWBERRY SPREAD SANDWICH ON WHOLE WHEAT BREAD, PEANUT BUTTER & STRAWBERRY",branded_food,328.0,12.07,15.52,37.93,whole wheat bread,exact
Baguette,549842,FRESH BAKE BAGUETTE,branded_food,196.0,7.14,0.0,42.86,baguette,exact
Croissant,1143795,"5 CROISSANTS WITH STRAWBERRY FILLING, STRAWBERRY",branded_food,375.0,4.17,14.58,52.08,croissant,exact
Pasta,169727,"Pasta, fresh-refrigerated, plain, as purchased",sr_legacy_food,288.0,11.31,2.3,54.73,pasta,exact
Spaghetti,169298,"Squash, winter, spaghetti, raw",sr_legacy_food,31.0,0.64,0.57,6.91,spaghetti,exact
Macaroni,173340,"Macaroni and cheese dinner with dry sauce mix, boxed, uncooked",sr_legacy_food,379.0,13.86,4.82,70.12,macaroni,exact
Ravioli,716418,"CHEESE MICROWAVEABLE RAVIOLI PREMIUM PASTA STUFFED WITH A SMOOTH BLEND OF FRESH RICOTTA CHEESE & SEASONINGS, CHEESE",branded_food,175.0,6.99,3.5,29.37,ravioli,exact
Lasagna noodles,976189,"FRESHLY MADE MINI LASAGNA NOODLES IN A MEAT SAUCE MADE WITH 100% GROUND BEEF & REAL MOZZARELLA CHEESE LASAGNA-STYLE PASTA & BEEF, LASAGNA-STYLE PASTA & BEEF",branded_food,119.0,5.11,4.26,14.89,lasagna noodles,exact
Noodles,2535300,BASIL PESTO FRESH VEGGIE NOODLES,branded_food,111.0,6.56,7.21,6.89,noodles,exact
Ramen,2183072,Club Ramen Pork Tonkotsu Fresh Noodles 205g,branded_food,237.0,7.46,5.46,38.83,ramen,exact
Udon,2655420,"FRESH JAPANESE STYLE SANUKIYA UDON, FRESH JAPANESE STYLE",branded_food,182.0,4.42,1.47,38.82,udon,exact
Soba,168907,"Noodles, japanese, soba, cooked",sr_legacy_food,99.0,5.06,0.1,21.44,soba,exact
Rice noodle,360980,FRESH RICE NOODLES,branded_food,211.0,3.51,0.0,49.12,rice noodle,exact
Instant noodle,456762,ASIAN STYLE INSTANT NOODLE,branded_food,417.0,8.33,13.33,66.67,instant noodle,exact
Tortilla,580740,100% WHOLE WHEAT FRESH TORTILLAS,branded_food,267.0,8.89,7.78,48.89,tortilla,exact
Pita bread,525046,100% WHOLE WHEAT PITA BREAD,branded_food,263.0,10.53,1.75,49.12,pita bread,exact
Pizza dough,2681742,16'' FRESH 'N READY WGR OVEN RISING SHEETED PIZZA DOUGH W/ SAUCE RING,branded_food,232.0,9.33,4.18,40.25,pizza dough,exact
Pie crust,1540949,"MORNING FRESH FARMS, PIE CRUST SHELLS",branded_food,429.0,4.76,23.81,52.38,pie crust,exact
Cereal bar,1893183,"CEREAL BAR, FRUIT & GRAIN STRAWBERRY",branded_food,324.0,2.7,8.11,67.57,cereal bar,exact
Cracker,2470196,"BACON SEASONED WITH BLACK PEPPER FRESH STACKS CRACKERS, BACON SEASONED WITH BLACK PEPPER",branded_food,500.0,6.25,25.0,62.5,cracker,exact
Biscuit,1998614,"""""LUMBER JACK"""" CENTER-CUT SMOKED SAUSAGE, FRESH BUTTERMILK BISCUIT, EGG & CHEESE SUPER-SIZE SANDWICHES, """"LUMBER JACK""""",branded_food,250.0,10.26,17.31,13.46,biscuit,exact
Cookie,175076,"Archway Home Style Cookies, Strawberry Filled",sr_legacy_food,400.0,4.35,13.26,65.92,cookie,exact
Muffin,2036265,"BAKED FRESH GOODNESS, HONEY RAISIN BRAN MUFFINS",branded_food,443.0,4.72,23.58,53.77,muffin,exact
Cake,172704,"Cake, pound, commercially prepared, butter (includes fresh and frozen)",sr_legacy_food,353.0,5.0,13.96,53.64,cake,exact
Donut,439058,"BAKERY FRESH GOODNESS, CAKE DONUTS, S'MORES",branded_food,403.0,3.23,20.97,51.61,donut,exact
Bagel,1252154,"BAGELS BY BELL, FRESH BAKE SHOP PLAIN MINI BAGEL",branded_food,314.0,11.76,0.98,68.63,bagel,exact
Pretzel,1240463,"AMERICAN IMPORTING COMPANY, INC., YOGURT PRETZELS, STRAWBERRY",branded_food,475.0,2.5,15.0,77.5,pretzel,exact
Pancake,2223006,"1701: Pancakes, Whole Grain, Strawberry, Bulk. Produced in a nut-free facility.",branded_food,216.0,5.41,4.73,43.24,pancake,exact
